,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Salary_In_Usd,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
68,2020,Data Science Manager,SE,FT,"15,134,119.00","181,609.43",US,US,M,100
69,2020,Data Scientist,EN,FT,"8,354,798.00","100,257.58",US,US,S,100
70,2020,Data Scientist,SE,FT,"7,259,682.00","87,116.18",AT,AT,S,0
71,2020,Data Scientist,MI,FT,"4,991,076.00","59,892.91",FR,LU,S,50
72,2020,Data Scientist,MI,FT,"3,357,594.00","40,291.13",FR,FR,S,50
73,2021,Research Scientist,EN,FT,"6,566,712.00","78,800.54",GB,GB,L,50
74,2021,BI Data Analyst,EX,FT,"11,935,425.00","143,225.10",IN,US,L,100
75,2021,Head of Data,EX,FT,"18,698,833.00","224,386.00",US,US,L,100
76,2021,Data Scientist,SE,FT,"4,232,461.00","50,789.53",FR,FR,L,50
77,2021,BI Data Analyst,MI,FT,"7,956,950.00","95,483.40",US,US,M,100
78,2021,3D Computer Vision Researcher,MI,PT,"430,391.00","5,164.69",IN,IN,M,50
79,2021,ML Engineer,MI,CT,"21,483,765.00","257,805.18",US,US,L,100
80,2021,Data Analyst,EN,FT,"6,365,560.00","76,386.72",US,US,M,100
81,2021,Data Analytics Engineer,SE,FT,"6,301,666.00","75,619.99",DE,DE,L,100
82,2021,Data Engineer,MI,FT,"11,139,730.00","133,676.76",US,US,L,100
83,2021,Applied Data Scientist,MI,FT,"4,315,691.00","51,788.29",GB,CA,L,50
84,2021,Machine Learning Engineer,MI,FT,"3,762,205.00","45,146.46",ES,ES,S,100
85,2021,Director of Data Science,EX,FT,"12,227,206.00","146,726.47",IT,PL,L,100
86,2021,Data Engineer,MI,FT,"2,265,821.00","27,189.85",PL,PL,L,100
87,2021,Data Analyst,EN,FT,"4,702,717.00","56,432.60",FR,FR,M,50
88,2021,Data Analytics Engineer,MI,FT,"8,752,645.00","105,031.74",US,US,L,100
89,2021,Lead Data Analyst,SE,FT,"13,526,815.00","162,321.78",US,US,L,100
90,2021,Data Analyst,SE,FT,"6,365,560.00","76,386.72",BG,US,S,100
91,2021,Marketing Data Analyst,SE,FT,"7,054,154.00","84,649.85",GR,DK,L,100
92,2021,Data Science Consultant,EN,FT,"6,113,563.00","73,362.76",DE,DE,S,100
93,2021,Lead Data Analyst,MI,FT,"1,560,278.00","18,723.34",IN,IN,L,100
94,2021,Lead Data Engineer,SE,FT,"21,961,182.00","263,534.18",US,US,L,0
95,2021,Data Scientist,EN,FT,"2,367,272.00","28,407.26",IN,IN,L,50
96,2021,Cloud Data Engineer,MI,FT,"7,105,079.00","85,260.95",SG,SG,L,50
97,2021,AI Scientist,EN,PT,"954,834.00","11,458.01",BR,US,S,100
98,2021,Financial Data Analyst,MI,FT,"35,806,275.00","429,675.30",US,US,L,100
99,2021,Computer Vision Software Engineer,EN,FT,"5,569,865.00","66,838.38",US,US,M,100
100,2021,Computer Vision Software Engineer,MI,FT,"7,618,461.00","91,421.53",DE,US,S,100
101,2021,Data Analyst,MI,FT,"5,967,713.00","71,612.56",US,US,L,0
102,2021,Data Engineer,SE,FT,"11,935,425.00","143,225.10",US,US,L,100
103,2021,BI Data Analyst,MI,FT,"2,885,111.00","34,621.33",HU,US,L,50
104,2021,Data Analyst,MI,FT,"4,933,309.00","59,199.71",US,US,L,0
105,2021,Data Scientist,MI,FT,"5,808,574.00","69,702.89",US,US,L,0
106,2021,Data Analyst,MI,FT,"4,099,341.00","49,192.09",GB,GB,L,50
107,2021,Research Scientist,MI,FT,"14,914,666.00","178,975.99",CA,CA,L,100
108,2021,Data Engineer,SE,FT,"9,150,493.00","109,805.92",US,US,S,100
109,2021,Data Engineer,SE,FT,"11,935,425.00","143,225.10",US,US,M,100
110,2021,Data Engineer,EN,FT,"2,421,141.00","29,053.69",IN,IN,L,100
111,2021,Machine Learning Engineer,SE,FT,"7,524,410.00","90,292.92",DE,DE,L,50
112,2021,Director of Data Engineering,SE,FT,"9,029,229.00","108,350.75",GB,GB,M,100
113,2021,Lead Data Engineer,SE,FT,"8,208,390.00","98,500.68",GB,GB,S,100
114,2021,AI Scientist,EN,PT,"954,834.00","11,458.01",PK,US,M,100
115,2021,Data Engineer,MI,FT,"3,611,739.00","43,340.87",NL,NL,L,100
116,2021,Machine Learning Scientist,EN,FT,"17,903,138.00","214,837.66",US,US,L,100
117,2021,Data Scientist,MI,FT,"3,978,475.00","47,741.70",NG,NG,L,100
118,2021,Data Science Engineer,MI,FT,"3,197,819.00","38,373.83",GR,GR,M,100
119,2021,Data Analyst,EN,FT,"7,161,255.00","85,935.06",US,US,S,100
120,2021,Data Engineer,MI,FT,"15,913,900.00","190,966.80",US,US,L,100
121,2021,Big Data Engineer,MI,FT,"4,774,170.00","57,290.04",ES,RO,M,50
122,2021,Principal Data Engineer,SE,FT,"15,913,900.00","190,966.80",US,US,M,100
123,2021,Data Analyst,EN,FT,"3,978,475.00","47,741.70",US,US,M,100
124,2021,Applied Data Scientist,EN,FT,"8,755,589.00","105,067.07",GB,GB,L,0
125,2021,Data Analyst,EN,PT,"823,863.00","9,886.36",ES,ES,M,50
126,2021,Principal Data Scientist,MI,FT,"12,014,995.00","144,179.94",US,US,L,100
127,2021,Machine Learning Scientist,SE,FT,"9,548,340.00","114,580.08",US,US,S,50
128,2021,Data Scientist,MI,FT,"753,205.00","9,038.46",IN,IN,S,0
129,2021,Machine Learning Engineer,EN,FT,"1,591,390.00","19,096.68",IN,IN,S,100
130,2021,Lead Data Scientist,SE,FT,"3,228,135.00","38,737.62",IN,IN,L,50
131,2021,Machine Learning Developer,EN,FT,"7,956,950.00","95,483.40",IQ,IQ,S,50
132,2021,Data Scientist,EN,FT,"3,950,307.00","47,403.68",FR,FR,M,50
133,2021,Applied Machine Learning Scientist,MI,FT,"3,055,469.00","36,665.63",VN,US,M,100
134,2021,Computer Vision Engineer,SE,FT,"1,909,668.00","22,916.02",BR,BR,M,100
135,2021,Data Scientist,EN,FT,"7,956,950.00","95,483.40",US,US,S,0
136,2021,Data Analyst,MI,FT,"7,161,255.00","85,935.06",US,US,M,100
137,2021,ML Engineer,MI,FT,"5,069,452.00","60,833.42",JP,JP,S,50
138,2021,ML Engineer,MI,FT,"6,155,815.00","73,869.78",JP,JP,S,50
139,2021,Principal Data Scientist,SE,FT,"17,505,290.00","210,063.48",US,US,L,0
140,2021,Data Scientist,EN,FT,"6,365,560.00","76,386.72",US,US,M,100
141,2021,Data Analyst,MI,FT,"10,741,883.00","128,902.60",US,US,L,100
142,2021,Data Science Manager,SE,FT,"19,096,680.00","229,160.16",US,US,L,0
143,2021,Data Engineering Manager,SE,FT,"11,935,425.00","143,225.10",US,US,L,0
